Power Lv,Str/Agi/Int,MaxHP (Player),MaxHP (Enemy),,0,Ability/Switch Skill,Skill,Effect,Description,,0,Buff,Skill,Effect,MaxStack X,Upgrade MaxStack X,ActivateType,Stack Decrease At / Tick,Stack Increase At,Removed Directly At,Description,,0,Passive,Skill,Effect,Max Stacks,ActiveType,PassiveType,Description,,0,SkillType,0,EffectType
,,,,,167,Inflict Confuse,Debuff,Confuse,Inflict X Confuse on the opponent,,,,,,,,,,,,,,167,Light Talent,Buff,Light,5/10,Multtiple,AlwaysActive,Buff Light damage and heal by 5X%,,,,,
,,,,,168,Inflict Slack,Debuff,Slack,Inflict X Slack on the opponent,,,,,,,,,,,,,,168,Dark Talent,Buff,Dark,5/10,Multtiple,AlwaysActive,Buff Dark damage and heal by 5X%,,,,,
,,,,,169,Inflict Certain,InstantBoost,Certain,Apply X Certain on self,,,,,,,,,,,,,,169,After Act Fire Combo,ActionBuff,Fire,N/A,AfterAction,JobOn,Give X Fire combo stacks after every action,,,,,
,,,,,170,Strength Action Debuff,InstantNerf,Strength,Gain X Str Action Debuff,,,,,,,,,,,,,,170,After Act Water Combo,ActionBuff,Water,N/A,AfterAction,JobOn,Give X Water  combo stacks after every action,,,,,
,,,,,171,Agility Action Debuff,InstantNerf,Agility,Gain X Agi Action Debuff,,,,,,,,,,,,,,171,After Act Thunder Combo,ActionBuff,Thunder,N/A,AfterAction,JobOn,Give X Thunder combo stacks after every action,,,,,
,,,,,172,Intelligence Action Debuff,InstantNerf,Intelligence,Gain X Int Action Debuff,,,,,,,,,,,,,,172,After Act Earth Combo,ActionBuff,Earth,N/A,AfterAction,JobOn,Give X Earth combo stacks after every action,,,,,
,,,,,173,Max HP Action Debuff,InstantNerf,MaxHP,Gain X MaxHP Action Debuff,,,,,,,,,,,,,,173,After Act Wind Combo,ActionBuff,Wind,N/A,AfterAction,JobOn,Give X Wind combo stacks after every action,,,,,
,,,,,174,Inflict Corruption,Vulnerable,Venom,Inflict X Corruption on the opponent,,,,,,,,,,,,,,174,After Act Light Combo,ActionBuff,Light,N/A,AfterAction,JobOn,Give X Light combo stacks after every action,,,,,
,,,,,175,Inflict Seal,Vulnerable,Restrain,Inflict X Seal on the opponent,,,,,,,,,,,,,,175,After Act Dark Combo,ActionBuff,Dark,N/A,AfterAction,JobOn,Give X Dark combo stacks after every action,,,,,
,,,,,176,Inflict Madness,Vulnerable,Insane,Inflict X Madness on the opponent,,,,,,,,,,,,,,176,Combo Fire Act Buff,Combo,Fire,N/A,AfterAction,AlwaysActive,Give X Fire action buff on every Fire combo trigger,,,,,
,,,,,177,Apply Afterimage,Sacrifice,Multiply,Apply an Afterimage buff on self,,,,,,,,,,,,,,177,Combo Water Act Buff,Combo,Water,N/A,AfterAction,AlwaysActive,Give X Water action buff on every Water combo trigger,,,,,
,,,,,178,Debuff Confuse On Self,Sacrifice,Confuse,Gain X Confuse Debuff,,,,,,,,,,,,,,178,Combo Thunder Act Buff,Combo,Thunder,N/A,AfterAction,AlwaysActive,Give X Thunder action buff on every Thunder combo trigger,,,,,
,,,,,179,Debuff Slack On Self,Sacrifice,Slack,Gain X Slack Debuff,,,,,,,,,,,,,,179,Combo Earth Act Buff,Combo,Earth,N/A,AfterAction,AlwaysActive,Give X Earth action buff on every Earth combo trigger,,,,,
,,,,,180,Buff Removal,Discard,Buff,"Remove X random buffs from the opponent (Not include Second Chance, Element and Protect)",,,,,,,,,,,,,,180,Combo Wind Act Buff,Combo,Wind,N/A,AfterAction,AlwaysActive,Give X Wind action buff on every Wind combo trigger,,,,,
,,,,,181,Gain Gamble Token,InstantBoost,Dice,Gain X Gamble Token,,,,,,,,,,,,,,181,Combo Light Act Buff,Combo,Light,N/A,AfterAction,AlwaysActive,Give X Light action buff on every Light combo trigger,,,,,
,,,,,182,Bleed Burst,Damage,Bleed,"Remove all bleed and bleed vulnerable on the opponent, for each stack removed, enemy suffer 1% damage based on his/her MaxHP",,,,,,,,,,,,,,182,Combo Dark Act Buff,Combo,Dark,N/A,AfterAction,AlwaysActive,Give X Dark action buff on every Dark combo trigger,,,,,
,,,,,183,Discard Curse Attack,Discard,Curse,"Player: For each Curse abilities in the discard pile, deal Highest combined X damage. Enemy: For every single abilities in player's discard pile instead. (Max 20x)",,,,,,,,,,,,,,183,Babel,Sacrifice,Protect,N/A,OnAction,AlwaysActive,Allow Protect gain up to 5 times of the original limit. Inflict a Confuse debuff on self whenever user gain Protect above the original limit. The Protect gained above the original limit will be removed at the start of turn. Protect attack and heal will now consume all of the {0} used.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Relics Only,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fire Imbue,ApplyOn,Fire,1,N/A,JobOn,Imbue Fire element to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Water Imbue,ApplyOn,Water,1,N/A,JobOn,Imbue Water element to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Thunder Imbue,ApplyOn,Thunder,1,N/A,JobOn,Imbue Thunder element to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Earth Imbue,ApplyOn,Earth,12/31,N/A,JobOn,Imbue Earth element to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Wind Imbue,ApplyOn,Wind,12/31,N/A,JobOn,Imbue Wind element to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Light Imbue,ApplyOn,Light,12/31,N/A,JobOn,Imbue Light element to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dark Imbue,ApplyOn,Dark,12/31,N/A,JobOn,Imbue Dark element to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Humanoid Killer Imbue,ApplyOn,Humanoid,12/31,N/A,JobOn,Imbue Humanoid Killer to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Creature Killer Imbue,ApplyOn,Creature,12/31,N/A,JobOn,Imbue Beast Killer to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spirit Killer Imbue,ApplyOn,Spirit,12/31,N/A,JobOn,Imbue Spirit Killer to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Matter Killer Imbue,ApplyOn,Matter,12/31,N/A,JobOn,Imbue Inorganic Killer to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Curse Exhaust,Curse,Exhaust,1,OnAction,AlwaysActive,Exhaust any curse on use,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Curse Discard,Discard,Curse,1,TurnEnd,AlwaysActive,Loose 5% HP and auto discard curse on hand on end turn,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Curse Recover,Heal,Curse,1,OnAction,AlwaysActive,Heal 5% of MaxHP on using a Curse,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Predestination,Upgrade,Delay,1,TurnEnd,AlwaysActive,Scheduled and Automatic abilities will be excuted in full power when auto used,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Strength Combo Upgrade,Combo,Strength,1,StatusBoost,AlwaysActive,Guard -> Charge -> S Guard - > S Charge ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Agility Combo Upgrade,Combo,Agility,1,StatusBoost,AlwaysActive,Reset Combo give extra ap+1 and ap +1 next,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Intelligence Combo Upgrade,Combo,Intelligence,1,StatusBoost,AlwaysActive,Reset Combo give extra draw+1 and draw +1 next,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,MaxHP Combo Upgrade,Combo,MaxHP,1,StatusBoost,AlwaysActive,"Combo Heal + 5%, give 2 Blocks instead of one on the 9th combo",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cross Combo Upgrade,Combo,Direct,1,StatusBoost,AlwaysActive,"Interrupt combo at multiply of 15 reduce an extra cd, at multiply of 20 skip an extra turn",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Venom Combo,Combo,Venom,1,OnAction,AlwaysActive,"For every Str 4 Combo, apply one Venom on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Restrain Combo,Combo,Restrain,1,OnAction,AlwaysActive,"For every Agi 7 Combo, apply one Restrain on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Insane Combo,Combo,Insane,1,OnAction,AlwaysActive,"For every Int 7 Combo, apply one Insane on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Injury Combo,Combo,Injury,1,OnAction,AlwaysActive,"For any 10 Combo, apply one injury on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fire Vuln Combo,Combo,Fire,1,OnAction,AlwaysActive,"On trigger fire combo, inflict 2 corresponded element vulnerable on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Water Vuln Combo,Combo,Water,1,OnAction,AlwaysActive,"On trigger water combo, inflict 2 corresponded element vulnerable on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Thunder Vuln Combo,Combo,Thunder,1,OnAction,AlwaysActive,"On trigger thunder combo, inflict 2 corresponded element vulnerable on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Earth Vuln Combo,Combo,Earth,1,OnAction,AlwaysActive,"On trigger earth combo, inflict 2 corresponded element vulnerable on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Wind Vuln Combo,Combo,Wind,1,OnAction,AlwaysActive,"On trigger wind combo, inflict 2 corresponded element vulnerable on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Light Vuln Combo,Combo,Light,1,OnAction,AlwaysActive,"On trigger light combo, inflict 2 corresponded element vulnerable on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dark Vuln Combo,Combo,Dark,1,OnAction,AlwaysActive,"On trigger dark combo, inflict 2 corresponded element vulnerable on enemy",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Grudge Imbue,ApplyOn,Sacrifice,1,N/A,JobOn,Imbue Grudge to current job's ability,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Favor Imbue,ApplyOn,Full,1,N/A,JobOn,Imbue Favor to current job's ability,,,,,
